Strike;Last;Net;Bid;Ask;Vol;Int
SPXW1610F300-E ;0.0;0.0;1733.10;1752.60;0;0
SPXW1610F400-E ;0.0;0.0;1633.10;1652.60;0;0
SPXW1610F500-E ;0.0;0.0;1532.20;1553.00;0;0
SPXW1610F600-E ;0.0;0.0;1432.20;1453.00;0;0
SPXW1610F700-E ;0.0;0.0;1332.30;1352.80;0;0
SPXW1610F800-E ;0.0;0.0;1232.40;1252.90;0;0
SPXW1610F900-E ;0.0;0.0;1132.40;1152.90;0;0
SPXW1610F1000-E ;0.0;0.0;1032.50;1053.00;0;0
SPXW1610F1100-E ;0.0;0.0;932.60;953.10;0;0
SPXW1610F1200-E ;0.0;0.0;832.90;853.10;0;0
SPXW1610F1225-E ;0.0;0.0;807.70;828.20;0;0
SPXW1610F1250-E ;0.0;0.0;782.40;803.50;0;0
SPXW1610F1275-E ;0.0;0.0;757.70;778.20;0;0
SPXW1610F1300-E ;0.0;0.0;738.00;750.20;0;0
SPXW1610F1325-E ;0.0;0.0;712.90;725.30;0;0
SPXW1610F1350-E ;0.0;0.0;687.30;700.30;0;0
SPXW1610F1375-E ;0.0;0.0;662.40;675.30;0;0
SPXW1610F1400-E ;0.0;0.0;638.00;650.30;0;0
SPXW1610F1425-E ;0.0;0.0;613.10;625.40;0;0
SPXW1610F1450-E ;0.0;0.0;588.10;600.40;0;0
SPXW1610F1475-E ;0.0;0.0;563.10;575.40;0;0
SPXW1610F1500-E ;0.0;0.0;538.20;550.50;0;0
SPXW1610F1525-E ;0.0;0.0;513.20;525.50;0;0
SPXW1610F1550-E ;0.0;0.0;488.30;500.60;0;0
SPXW1610F1560-E ;0.0;0.0;478.30;490.60;0;0
SPXW1610F1570-E ;0.0;0.0;468.30;480.60;0;0
SPXW1610F1575-E ;0.0;0.0;463.30;475.60;0;0
SPXW1610F1580-E ;0.0;0.0;458.30;470.60;0;0
SPXW1610F1590-E ;0.0;0.0;448.40;460.60;0;0
SPXW1610F1595-E ;0.0;0.0;443.30;455.60;0;0
SPXW1610F1600-E ;0.0;0.0;438.40;450.70;0;0
SPXW1610F1605-E ;0.0;0.0;433.40;445.70;0;0
SPXW1610F1610-E ;0.0;0.0;428.40;440.70;0;0
SPXW1610F1615-E ;0.0;0.0;423.40;435.70;0;0
SPXW1610F1620-E ;0.0;0.0;418.40;430.70;0;0
SPXW1610F1625-E ;0.0;0.0;413.40;425.70;0;0
SPXW1610F1630-E ;0.0;0.0;408.40;420.70;0;0
SPXW1610F1635-E ;0.0;0.0;403.50;415.70;0;0
SPXW1610F1640-E ;0.0;0.0;398.50;410.80;0;0
SPXW1610F1645-E ;0.0;0.0;393.50;405.80;0;0
SPXW1610F1650-E ;0.0;0.0;388.50;400.80;0;0
SPXW1610F1655-E ;0.0;0.0;383.50;395.80;0;0
SPXW1610F1660-E ;0.0;0.0;378.50;390.80;0;0
SPXW1610F1665-E ;0.0;0.0;373.30;385.60;0;0
SPXW1610F1670-E ;0.0;0.0;368.50;380.90;0;0
SPXW1610F1675-E ;0.0;0.0;363.60;375.90;0;0
SPXW1610F1680-E ;0.0;0.0;358.60;370.90;0;0
SPXW1610F1685-E ;0.0;0.0;353.60;365.90;0;0
SPXW1610F1690-E ;0.0;0.0;348.60;360.90;0;0
SPXW1610F1695-E ;0.0;0.0;343.60;355.90;0;0
SPXW1610F1700-E ;0.0;0.0;338.60;351.00;0;0
SPXW1610F1705-E ;0.0;0.0;333.70;346.00;0;0
SPXW1610F1710-E ;0.0;0.0;328.70;341.00;0;0
SPXW1610F1715-E ;0.0;0.0;323.70;336.00;0;0
SPXW1610F1720-E ;0.0;0.0;318.80;331.10;0;0
SPXW1610F1725-E ;0.0;0.0;313.80;326.10;0;0
SPXW1610F1730-E ;0.0;0.0;308.80;321.10;0;0
SPXW1610F1735-E ;0.0;0.0;303.80;316.10;0;0
SPXW1610F1740-E ;0.0;0.0;298.90;311.20;0;0
SPXW1610F1745-E ;0.0;0.0;293.90;306.20;0;0
SPXW1610F1750-E ;0.0;0.0;288.90;301.20;0;0
SPXW1610F1755-E ;0.0;0.0;284.00;296.30;0;0
SPXW1610F1760-E ;0.0;0.0;279.00;291.30;0;0
SPXW1610F1765-E ;0.0;0.0;274.10;286.40;0;0
SPXW1610F1770-E ;0.0;0.0;269.10;281.40;0;0
SPXW1610F1775-E ;0.0;0.0;264.20;276.40;0;0
SPXW1610F1780-E ;261.90;0.0;259.20;271.50;0;3
SPXW1610F1785-E ;0.0;0.0;254.20;266.50;0;0
SPXW1610F1790-E ;0.0;0.0;249.30;261.60;0;0
SPXW1610F1795-E ;0.0;0.0;244.40;256.60;0;0
SPXW1610F1800-E ;0.0;0.0;239.40;251.70;0;0
SPXW1610F1805-E ;0.0;0.0;234.50;246.80;0;0
