Strike;Last;Net;Bid;Ask;Vol;Int
SPXW1610R300-E ;0.0;0.0;0.0;0.05;0;0
SPXW1610R400-E ;0.0;0.0;0.0;0.05;0;0
SPXW1610R500-E ;0.0;0.0;0.0;0.05;0;0
SPXW1610R600-E ;0.0;0.0;0.0;0.05;0;0
SPXW1610R700-E ;0.0;0.0;0.0;0.05;0;0
SPXW1610R800-E ;0.0;0.0;0.0;0.05;0;0
SPXW1610R900-E ;0.0;0.0;0.0;0.05;0;0
SPXW1610R1000-E ;0.10;0.0;0.0;0.05;0;1
SPXW1610R1100-E ;0.10;0.0;0.0;0.05;0;212
SPXW1610R1200-E ;0.10;0.0;0.0;0.10;0;307
SPXW1610R1225-E ;0.05;0.0;0.0;0.10;0;22
SPXW1610R1250-E ;0.10;0.0;0.0;0.10;0;11
SPXW1610R1275-E ;0.05;0.0;0.0;0.10;0;17
SPXW1610R1300-E ;0.05;0.0;0.0;0.10;0;154
SPXW1610R1325-E ;0.05;0.0;0.05;0.10;0;288
SPXW1610R1350-E ;0.05;0.0;0.05;0.15;0;278
SPXW1610R1375-E ;0.05;0.0;0.05;0.15;0;232
SPXW1610R1400-E ;0.05;0.0;0.05;0.15;0;348
SPXW1610R1425-E ;0.05;0.0;0.10;0.15;0;282
SPXW1610R1450-E ;0.10;-0.10;0.10;0.20;1;1559
SPXW1610R1475-E ;0.10;0.0;0.10;0.35;1;364
SPXW1610R1500-E ;0.15;0.0;0.15;0.25;1432;12380
SPXW1610R1525-E ;0.20;-0.05;0.15;0.25;2041;4871
SPXW1610R1550-E ;0.25;-0.05;0.20;0.25;883;2409
SPXW1610R1560-E ;0.15;0.0;0.20;0.30;0;415
SPXW1610R1570-E ;0.25;0.0;0.20;0.30;0;563
SPXW1610R1575-E ;0.15;0.0;0.20;0.35;0;936
SPXW1610R1580-E ;0.15;0.0;0.25;0.35;0;861
SPXW1610R1590-E ;0.30;+0.10;0.25;0.35;250;124
SPXW1610R1595-E ;0.20;0.0;0.25;0.35;0;227
SPXW1610R1600-E ;0.25;0.0;0.25;0.35;0;4359
SPXW1610R1605-E ;0.20;0.0;0.25;0.35;0;84
SPXW1610R1610-E ;0.20;0.0;0.30;0.40;0;89
SPXW1610R1615-E ;0.25;0.0;0.30;0.50;0;69
SPXW1610R1620-E ;0.40;+0.15;0.30;0.40;2;129
SPXW1610R1625-E ;0.35;+0.10;0.35;0.40;4;6005
SPXW1610R1630-E ;0.35;0.0;0.30;0.40;0;170
SPXW1610R1635-E ;0.45;+0.10;0.35;0.45;250;3540
SPXW1610R1640-E ;0.25;0.0;0.35;0.45;0;364
SPXW1610R1645-E ;0.25;0.0;0.35;0.45;0;426
SPXW1610R1650-E ;0.35;0.0;0.35;0.45;0;246
SPXW1610R1655-E ;0.30;0.0;0.35;0.60;0;465
SPXW1610R1660-E ;0.30;0.0;0.35;0.50;0;295
SPXW1610R1665-E ;0.30;0.0;0.40;0.50;0;363
SPXW1610R1670-E ;0.35;0.0;0.40;0.50;0;216
SPXW1610R1675-E ;0.40;0.0;0.40;0.55;0;445
SPXW1610R1680-E ;0.35;0.0;0.45;0.55;0;137
SPXW1610R1685-E ;0.45;0.0;0.50;0.55;0;1145
SPXW1610R1690-E ;0.45;0.0;0.45;0.60;0;47
SPXW1610R1695-E ;0.40;0.0;0.45;0.75;0;48
SPXW1610R1700-E ;0.50;0.0;0.50;0.60;0;501
SPXW1610R1705-E ;0.40;0.0;0.50;0.65;0;127
SPXW1610R1710-E ;0.50;0.0;0.55;0.65;0;144
SPXW1610R1715-E ;0.45;0.0;0.55;0.70;0;144
SPXW1610R1720-E ;0.55;0.0;0.55;0.70;0;515
SPXW1610R1725-E ;0.53;+0.03;0.60;0.75;20;8230
SPXW1610R1730-E ;0.50;0.0;0.60;0.75;0;226
SPXW1610R1735-E ;0.60;0.0;0.65;0.80;0;146
SPXW1610R1740-E ;0.55;0.0;0.70;0.80;0;147
SPXW1610R1745-E ;0.65;0.0;0.70;0.85;0;147
SPXW1610R1750-E ;0.70;-0.05;0.75;0.85;5;3303
SPXW1610R1755-E ;0.80;0.0;0.75;0.90;0;141
SPXW1610R1760-E ;0.65;0.0;0.80;0.95;0;46
SPXW1610R1765-E ;0.75;0.0;0.85;1.00;0;158
